Name,Description,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_26,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>OUTRAM PARK MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 8</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>3057E9135BFBD0F9</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",OUTRAM PARK MRT STATION,Exit 8,3057E9135BFBD0F9,20230127204435,1.28232163095245,103.838117129674
kml_27,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>OUTRAM PARK MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 7</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>3C9A35B7FDC33A1A</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",OUTRAM PARK MRT STATION,Exit 7,3C9A35B7FDC33A1A,20230127204435,1.2810220177189,103.838640195189
kml_28,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>MAXWELL MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 3</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>CE1632BF9D6E1F72</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",MAXWELL MRT STATION,Exit 3,CE1632BF9D6E1F72,20230127204435,1.28019152238094,103.842916305543
kml_29,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>MAXWELL MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 1</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>5D6CDC9708168E3B</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",MAXWELL MRT STATION,Exit 1,5D6CDC9708168E3B,20230127204435,1.28103425526259,103.844164413475
kml_30,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>MAXWELL MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 2</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>95F61602B7CE905C</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",MAXWELL MRT STATION,Exit 2,95F61602B7CE905C,20230127204435,1.28091943659091,103.844895459262
kml_31,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SHENTON WAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 1</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>AAEEB32398817172</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SHENTON WAY MRT STATION,Exit 1,AAEEB32398817172,20230127204435,1.27746205833565,103.851835707382
kml_32,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SHENTON WAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 5</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>03444FA2BC9AF9DF</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SHENTON WAY MRT STATION,Exit 5,03444FA2BC9AF9DF,20230127204435,1.2771436461189,103.851807978051
kml_33,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SHENTON WAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 4</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>2B1F698DD3DB8746</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SHENTON WAY MRT STATION,Exit 4,2B1F698DD3DB8746,20230127204435,1.27765594176983,103.851034086049
kml_34,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SHENTON WAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 2</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>FD720BE5E5565E2E</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SHENTON WAY MRT STATION,Exit 2,FD720BE5E5565E2E,20230127204435,1.27700305442423,103.850915094628
kml_35,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>SHENTON WAY MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit 3</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>A54D185A5569B115</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",SHENTON WAY MRT STATION,Exit 3,A54D185A5569B115,20230127204435,1.27762958112669,103.850128771071
